scenario_id, start_time         , lat    , lon   , height_m, run_hours, emission_rate, sample_path                                  , time_steps, grid_h, grid_w, tensor_min, tensor_max            , tensor_mean           , nonzero_cells
     000001, 2025-10-16T18:00:00, 51.1117, 6.1791,       20,         3,           0.5, /workspace/hysplit_dataset/samples/000001.npz,          3,     28,     26,        0.0, 1.000000013351432e-10 , 8.790089966667636e-13 ,           453
     000002, 2026-01-28T06:00:00, 53.2981, 3.5934,       50,         3,           1.0, /workspace/hysplit_dataset/samples/000002.npz,          3,     25,     47,        0.0, 8.400000139907604e-11 , 1.0121247373193198e-12,           787
     000003, 2025-06-01T06:00:00, 52.4857, 5.4669,       80,         9,           1.0, /workspace/hysplit_dataset/samples/000003.npz,          9,     22,     51,        0.0, 6.300000104930703e-11 , 6.889532347398308e-13 ,          3693
     000004, 2025-04-04T18:00:00, 52.4499, 6.4473,       10,         9,           2.0, /workspace/hysplit_dataset/samples/000004.npz,          9,     51,     51,        0.0, 1.9000000184288268e-10, 2.1490840790977517e-12,          7812
     000005, 2024-12-14T06:00:00, 51.578 , 4.1005,      100,         3,           1.0, /workspace/hysplit_dataset/samples/000005.npz,          3,     25,     51,        0.0, 6.70000027680473e-11  , 5.577072007337258e-13 ,          1169
     000006, 2025-01-02T12:00:00, 53.173 , 5.6347,      100,         9,           1.0, /workspace/hysplit_dataset/samples/000006.npz,          9,     36,     51,        0.0, 5.899999933056677e-11 , 7.870621472269579e-13 ,          4827
     000007, 2025-01-22T12:00:00, 51.0206, 4.4081,       80,        12,           1.0, /workspace/hysplit_dataset/samples/000007.npz,         12,     66,     53,        0.0, 1.4999999853326784e-10, 1.0878601621952533e-12,         12485
     000008, 2024-07-15T18:00:00, 52.7728, 3.431 ,       20,         6,           0.5, /workspace/hysplit_dataset/samples/000008.npz,          6,     28,     51,        0.0, 4.200000069953802e-11 , 7.586037375530152e-13 ,          2394
     000009, 2024-08-26T06:00:00, 53.2262, 4.7515,       50,         9,           1.0, /workspace/hysplit_dataset/samples/000009.npz,          9,     26,     51,        0.0, 5.899999933056677e-11 , 8.793191326982031e-13 ,          2347
     000010, 2024-12-29T18:00:00, 51.3866, 4.3046,      150,         9,           2.0, /workspace/hysplit_dataset/samples/000010.npz,          9,     37,     51,        0.0, 1.3999999770586413e-10, 1.82347865106125e-12  ,          5101
     000011, 2024-06-24T00:00:00, 52.2956, 4.217 ,       50,         6,           5.0, /workspace/hysplit_dataset/samples/000011.npz,          6,      8,     12,        0.0, 5.4000000027087935e-09, 1.7770818150353307e-10,           214
     000012, 2025-12-05T12:00:00, 52.3595, 5.9542,      150,         9,           1.0, /workspace/hysplit_dataset/samples/000012.npz,          9,     51,     54,        0.0, 1.3999999770586413e-10, 1.1408430623804922e-12,          4655
     000013, 2024-02-02T18:00:00, 53.0541, 4.8346,       10,        12,           2.0, /workspace/hysplit_dataset/samples/000013.npz,         12,     22,     51,        0.0, 7.400000057167233e-11 , 2.8121396270647248e-12,          5265
     000014, 2026-01-05T00:00:00, 51.6811, 5.839 ,       50,        12,           1.0, /workspace/hysplit_dataset/samples/000014.npz,         12,     51,     51,        0.0, 1.000000013351432e-10 , 1.252526294487355e-12 ,         13753
     000015, 2024-09-28T00:00:00, 51.191 , 6.1927,       50,         9,           1.0, /workspace/hysplit_dataset/samples/000015.npz,          9,     54,     51,        0.0, 8.400000139907604e-11 , 7.392080654186617e-13 ,          7398
     000016, 2025-08-20T12:00:00, 51.9183, 4.1163,      200,         6,           0.5, /workspace/hysplit_dataset/samples/000016.npz,          6,     51,     56,        0.0, 2.6999999458432455e-11, 1.6007831724670213e-13,          4900
     000017, 2024-02-18T00:00:00, 53.2111, 3.8537,       10,         9,           2.0, /workspace/hysplit_dataset/samples/000017.npz,          9,     51,     51,        0.0, 1.100000021625469e-10 , 1.6847560672939021e-12,          8355
     000018, 2025-01-29T00:00:00, 51.8685, 7.1847,       50,        12,           5.0, /workspace/hysplit_dataset/samples/000018.npz,         12,     55,     52,        0.0, 2.5999999375692084e-10, 2.013578540016603e-12 ,         10714
     000019, 2024-01-12T18:00:00, 52.7048, 3.7025,      150,         9,           2.0, /workspace/hysplit_dataset/samples/000019.npz,          9,     43,     51,        0.0, 2.3000000515249752e-10, 1.5641261072799062e-12,          3646
